sbscrbr,user_id,Gender,Status,D.O.B.,Address,State_CD
2152390595,Sandor_Coakley,M,Married,9/9/1989,"8220 South Maiden Lane  Duluth, GA 30096",
2363222315,Lyn_Maude,F,Single,3/1/2006,"4 Old York Court  Ashburn, VA 20147",
8031777977,Garnette_Clowton,M,Divorced,1/26/1982,"65 Harvey Rd.  Shrewsbury, MA 01545",
3324245844,Lark_Goodwins,F,Single Parent,7/8/1998,"100 Mountainview St.  Burke, VA 22015",
4344459543,Benedikta_Kainz,M,Single,1/18/1989,"951 King Court  Grove City, OH 43123",
5824167174,Dyane_Lynam,F,Married,5/22/2002,"157 W. Anderson St.  Farmington, MI 48331",
9137031157,Urson_Andersson,F,Married,2/1/2002,"596 Rock Creek Street  Livonia, MI 48150",
6574560964,Caralie_Ager,M,Married,8/31/1986,"58 South Glen Creek Lane  Ankeny, IA 50023",
8507144831,Sherlock_McJury,F,Married,5/31/1992,"47 Honey Creek St.  Elkridge, MD 21075",
1058852350,Pyotr_Fosken,F,Married,8/13/1988,"182 Coffee Ave.  Vista, CA 92083",
5879009159,Elicia_Lamport,F,Married,10/2/1985,"17 N. Windsor St.  Deerfield, IL 60015",
7598506704,Viola_Braham,M,Married,5/30/1988,"33 Old Temple Drive  Carmel, NY 10512",
8084937991,Ernst_MacGuffie,F,Married,9/4/1996,"142 Halifax Street  Pawtucket, RI 02860",
2749173407,Norean_Bestall,F,Married,3/13/2003,"8827 Mechanic St.  Coraopolis, PA 15108",
2021807324,Farah_Meletti,M,Married,8/2/1981,"7479 Sage Court  Grand Blanc, MI 48439",
8775599439,Alberto_Quadri,F,Married,5/7/1987,"285 SE. Plymouth Ave.  Dorchester Center, MA 02124",
4682544228,Alica_Kloisner,F,Married,12/30/1990,"55 West Spring Drive  Waterloo, IA 50701",
7615701682,Genovera_Crimpe,M,Married,5/1/1980,"25 South Tarkiln Hill Road  Romulus, MI 48174",
6515664166,Jeffrey_Forde,F,Married,3/31/2011,"72 Sunset St.  Rolling Meadows, IL 60008",
2027766534,Ernaline_Meyrick,M,Married,7/21/1977,"8 Whitemarsh Street  Marshfield, WI 54449",
9866590863,Lucienne_Manford,F,Married,5/3/1989,"9694 Durham Dr.  Gibsonia, PA 15044",
9727152829,Kanya_Spaughton,M,Married,2/6/2005,"48 Pleasant Ave.  Richmond, VA 23223",
3932646752,Alaster_Papaccio,F,Married,7/1/2000,"8300 Surrey Ave.  Hopewell Junction, NY 12533",
2699592901,Mandi_Diter,F,Married,10/1/1999,"866 Peg Shop Street  Braintree, MA 02184",
4196949779,Olivero_Avis,M,Married,2/3/2001,"431 Bridle Drive  Oak Park, MI 48237",
7969044816,Loreen_Bilofsky,F,Married,8/20/1992,"504 Rock Creek St.  Sioux City, IA 51106",
7848228476,Paco_Jonson,F,Married,8/19/2012,"644 Myrtle Dr.  Bemidji, MN 56601",
3595480181,Else_Boggs,F,Married,12/30/2000,"61 Washington Drive  Burnsville, MN 55337",
3854509678,Georgine_Hymer,M,Married,5/29/1976,"2 W. San Pablo Road  Sterling Heights, MI 48310",
7576518626,Portie_Lowres,F,Married,3/23/1992,"28 Henry Smith Drive  Fort Lee, NJ 07024",
9194468242,Barbaraanne_Ovid,F,Married,8/17/1974,"376 Cleveland Street  Milford, MA 01757",
5062718206,Eolande_Pauncefoot,M,Married,1/6/1997,"481 Hillside Street  East Elmhurst, NY 11369",
9497883803,Valene_Witt,F,Married,10/31/1984,"177 South Street  Sterling, VA 20164",
3754689807,Gwenora_PendeSLVR,F,Married,1/30/1985,"8308 Colonial St.  Colorado Springs, CO 80911",
3819802443,Ashley_Thomke,M,Married,6/13/1973,"9212 Marlborough Lane  Calhoun, GA 30701",
1446730539,Kellen_Willatts,F,Married,11/18/1980,"97 Overlook Court  Council Bluffs, IA 51501",
3144967947,Odelinda_Purdy,M,Married,4/22/2012,"64 Summit St.  Hampton, VA 23666",
8632541976,Jeanelle_Sneden,F,Married,8/27/1980,"127 Talbot Lane  Decatur, GA 30030",
4892011670,Weston_Mowling,M,Married,10/9/2011,"9601 Berkshire St.  Midland, MI 48640",
4681738720,Sigrid_Bellwood,F,Married,7/29/2000,"296 Railroad Drive  Harrison Township, MI 48045",
6788186529,Luis_Mallan,F,Married,8/19/1977,"8088 South Selby St.  Merrimack, NH 03054",
5706085789,Merissa_Desquesnes,M,Married,6/4/1991,"488 Homestead Street  Simpsonville, SC 29680",
6138634859,Nolana_Fairhead,F,Married,6/30/2015,"8790 Westminster St.  Seymour, IN 47274",
4321819908,Anabel_Currin,F,Married,8/16/2007,"8245 Arcadia Ave.  Hackensack, NJ 07601",
5218485221,Celestia_Boyne,F,Married,4/2/1977,"453 E. Plymouth Ave.  Lynchburg, VA 24502",
8029855518,Rodrick_Lamberts,M,Married,9/24/1989,"84 College Street  Faribault, MN 55021",
9425409194,Husein_Gaskin,F,Married,8/15/1981,"755 Pumpkin Hill Drive  Evansville, IN 47711",
7125213137,Kimberlyn_Tidridge,F,Married,9/16/1985,"96 Belmont Ave.  Skokie, IL 60076",
9285714279,Nicol_Andrea,M,Married,1/15/2012,"570 N. Wellington Ave.  Owensboro, KY 42301",
7444122122,Stephi_Boote,F,Married,12/30/1984,"7136 Hudson Street  Olive Branch, MS 38654",
3078473293,Carma_Cornier,F,Single,8/2/1978,"418 Edgewater Drive  Upper Marlboro, MD 20772",
7069570356,Liuka_Dudson,M,Single,2/5/1997,"8394 Green Lake Lane  Parkville, MD 21234",
7186626560,Trix_Pettingill,F,Single,1/11/2002,"9358 Glenwood St.  Warner Robins, GA 31088",
6774425950,Shay_Niland,M,Single,8/5/1973,"7398 West Brickyard Road  Anoka, MN 55303",
8483040830,Orion_Stickens,F,Single,3/6/2010,"7 Green St.  Lagrange, GA 30240",
7685734946,Lynnette_Leitche,M,Single,1/24/1995,"756 Airport St.  Snellville, GA 30039",
8615221158,Jane_Marjoribanks,F,Single,9/27/1998,"9811 SW. River St.  Waterbury, CT 06705",
7822494852,Genovera_Loach,F,Single,3/24/2005,"92 Poor House Avenue  Atlanta, GA 30303",
1378147552,Elton_Hynard,M,Single,9/14/1989,"80 E. Glen Eagles Drive  Bowling Green, KY 42101",
2173622328,Virginia_Werrilow,F,Single,7/1/2009,"7 Tanglewood St.  Harrisonburg, VA 22801",
1716595282,Lorine_Horry,F,Single,9/20/1994,"43 Blue Spring Rd.  Lynnwood, WA 98037",
2071887566,Sigismund_Tipler,F,Single,3/3/1985,"7 Pine St.  Passaic, NJ 07055",
7438259036,Lenka_Baus,M,Single,11/12/2012,"719 Oklahoma St.  Marietta, GA 30008",
7002374115,Bess_Farfalameev,F,Single,5/1/2004,"9752 Livingston Ave.  Teaneck, NJ 07666",
6791200457,Hatty_Butt,F,Single,9/3/2006,"9303 Kingston Ave.  Westmont, IL 60559",
